player_id,player_name,name_first,name_last,hand,dob,ioc,height,wikidata_id,atp_rank,atp_points,elo,elo_rank,best_surface,best_surface_elo,historical_matches,prediction_appearances,wins,losses,win_loss_record,last_match_date,is_active
104562,James Ludlow,James,Ludlow,U,19850603.0,USA,,,,,,,,,0,0,0,0,0-0,,False
104564,Ioan Alexandru Cojanu,Ioan Alexandru,Cojanu,R,19850606.0,ROU,,,,,,,,,0,0,0,0,0-0,,False
104565,Hyun Joon Suk,Hyun Joon,Suk,R,19850609.0,KOR,,,,,,,,,0,0,0,0,0-0,,False
104566,Aditya Madkekar,Aditya,Madkekar,U,19850611.0,IND,,,,,,,,,0,0,0,0,0-0,,False
104567,Mikolaj Szmyrgala,Mikolaj,Szmyrgala,R,19850611.0,POL,,,,,,,,,0,0,0,0,0-0,,False
104568,Amadeus Fulford Jones,Amadeus,Fulford Jones,U,19850615.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104569,Lado Chikhladze,Lado,Chikhladze,R,19850615.0,GEO,,Q12866080,,,,,,,0,0,0,0,0-0,,False
104570,Leandro Savelli,Leandro,Savelli,R,19850615.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104572,Eric Scherer,Eric,Scherer,R,19850620.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104573,Jerome Becker,Jerome,Becker,R,19850622.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104574,Alessandro Damiano Ventre,Alessandro Damiano,Ventre,U,19850626.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104575,Jochen Matschke,Jochen,Matschke,R,19850705.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104576,Brendan Moore,Brendan,Moore,L,19850706.0,AUS,,,,,,,,,0,0,0,0,0-0,,False
104577,Richard Irwin,Richard,Irwin,R,19850712.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104578,Francesco Borgo,Francesco,Borgo,R,19850714.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104580,Haithem Abid,Haithem,Abid,L,19850717.0,TUN,,Q91969775,,,,,,,0,0,0,0,0-0,,False
104581,David Estruch,David,Estruch,R,19850720.0,ESP,,,,,,,,,0,0,0,0,0-0,,False
104582,Rok Jarc,Rok,Jarc,R,19850720.0,SLO,,,,,,,,,0,0,0,0,0-0,,False
104583,Filip Polasek,Filip,Polasek,R,19850721.0,SVK,196.0,Q555698,,,,,,,0,0,0,0,0-0,,False
104584,Simeon Ivanov,Simeon,Ivanov,R,19850723.0,BUL,,Q12293747,,,,,,,0,0,0,0,0-0,,False
104585,Gyorgy Balazs,Gyorgy,Balazs,R,19850724.0,HUN,,Q5625636,,,,,,,0,0,0,0,0-0,,False
104587,Claudio Grassi,Claudio,Grassi,U,19850725.0,ITA,,Q15278798,,,,,,,0,0,0,0,0-0,,False
104588,David Stojan,David,Stojan,U,19850729.0,SUI,,,,,,,,,0,0,0,0,0-0,,False
104590,Tom Burn,Tom,Burn,R,19850730.0,GBR,,,,,,,,,0,0,0,0,0-0,,False
104591,Patrick Tierro,Patrick,Tierro,R,19850801.0,PHI,,Q107556465,,,,,,,0,0,0,0,0-0,,False
104595,Sascha Kloer,Sascha,Kloer,R,19850816.0,GER,,,,,,,,,0,0,0,0,0-0,,False
104596,Cledson Carvalho,Cledson,Carvalho,U,19850819.0,BRA,,,,,,,,,0,0,0,0,0-0,,False
104598,David Savic,David,Savic,R,19850823.0,SRB,,Q5239510,,,,,,,0,0,0,0,0-0,,False
104599,Matias De Genaro,Matias,De Genaro,U,19850826.0,ARG,,,,,,,,,0,0,0,0,0-0,,False
104600,Treat Conrad Huey,Treat Conrad,Huey,L,19850828.0,PHI,178.0,Q714029,,,,,,,0,0,0,0,0-0,,False
104601,Marin Bradaric,Marin,Bradaric,R,19850905.0,CRO,,,,,,,,,0,0,0,0,0-0,,False
104602,Andrea Falgheri,Andrea,Falgheri,R,19850909.0,ITA,,,,,,,,,0,0,0,0,0-0,,False
104603,Andrei Ciumac,Andrei,Ciumac,L,19850910.0,MDA,,Q4755762,,,,,,,0,0,0,0,0-0,,False
104604,Ruben Gonzales,Ruben,Gonzales,R,19850911.0,PHI,,Q17505115,,,,,,,0,0,0,0,0-0,,False
104605,Adam Vejmelka,Adam,Vejmelka,R,19850915.0,CZE,,,,,,,,,0,0,0,0,0-0,,False
104606,Charles Antoine Brezac,Charles Antoine,Brezac,R,19850917.0,FRA,,,,,,,,,0,0,0,0,0-0,,False
